iter	Passed	Remaining
587	2013	1410
588	2016	1406
589	2018	1402
590	2020	1398
591	2022	1393
592	2025	1390
593	2028	1386
594	2031	1382
595	2034	1378
596	2035	1374
597	2037	1369
598	2044	1368
599	2046	1364
600	2048	1360
601	2050	1355
602	2053	1351
603	2056	1348
604	2059	1344
605	2061	1340
606	2063	1336
607	2065	1331
608	2067	1327
609	2071	1324
610	2073	1320
611	2076	1316
612	2078	1312
613	2080	1307
614	2082	1303
615	2085	1299
616	2087	1295
617	2089	1291
618	2092	1287
619	2094	1283
620	2096	1279
621	2102	1277
622	2108	1275
623	2110	1271
624	2111	1267
625	2114	1263
626	2118	1260
627	2121	1256
628	2123	1252
629	2124	1247
630	2127	1244
631	2131	1241
632	2134	1237
633	2137	1233
634	2139	1229
635	2144	1227
636	2146	1223
637	2148	1219
638	2150	1214
639	2152	1210
640	2154	1206
641	2155	1202
642	2160	1199
643	2161	1195
644	2163	1190
645	2165	1186
646	2166	1182
647	2168	1178
648	2171	1174
649	2173	1170
650	2176	1166
651	2178	1162
652	2180	1158
653	2182	1154
654	2184	1150
655	2187	1147
656	2189	1143
657	2191	1139
658	2193	1134
659	2194	1130
660	2196	1126
661	2197	1122
662	2199	1118
663	2202	1114
664	2205	1111
665	2207	1107
666	2209	1103
667	2211	1098
668	2212	1094
669	2214	1090
670	2216	1087
671	2220	1083
672	2222	1079
673	2224	1075
674	2226	1071
675	2227	1067
676	2229	1063
677	2231	1060
678	2234	1056
679	2236	1052
680	2238	1048
681	2240	1044
682	2242	1040
683	2243	1036
684	2249	1034
685	2251	1030
686	2254	1026
687	2256	1023
688	2258	1019
689	2260	1015
690	2263	1012
691	2265	1008
692	2267	1004
693	2269	1000
694	2270	996
695	2272	992
696	2274	988
697	2277	985
698	2279	981
699	2281	977
700	2282	973
701	2284	969
702	2286	966
703	2288	962
704	2291	958
705	2293	955
706	2295	951
707	2297	947
708	2299	943
709	2301	939
710	2303	936
711	2305	932
712	2308	929
713	2310	925
714	2311	921
715	2313	917
716	2315	913
717	2316	910
718	2318	906
719	2321	902
720	2324	899
721	2326	895
722	2329	892
723	2332	889
724	2335	885
725	2337	882
726	2339	878
727	2341	874
728	2343	871
729	2345	867
730	2346	863
731	2349	860
732	2352	856
733	2354	853
734	2355	849
735	2357	845
736	2359	842
737	2361	838
738	2363	834
739	2366	831
740	2368	827
741	2370	824
742	2372	820
743	2373	816
744	2375	813
745	2377	809
746	2380	806
747	2382	802
748	2384	799
749	2386	795
750	2388	791
751	2390	788
752	2392	784
753	2395	781
754	2397	778
755	2399	774
756	2401	770
757	2403	767
758	2405	763
759	2408	760
760	2410	757
761	2412	753
762	2414	749
763	2416	746
764	2418	742
765	2419	739
766	2421	735
767	2424	732
768	2426	728
769	2428	725
770	2430	722
771	2433	718
772	2435	715
773	2440	712
774	2443	709
775	2445	706
776	2448	702
777	2450	699
778	2452	695
779	2454	692
780	2457	689
781	2460	685
782	2462	682
783	2464	678
784	2466	675
785	2470	672
786	2473	669
787	2476	666
788	2478	662
789	2486	661
790	2494	659
791	2512	659
792	2526	659
793	2528	656
794	2532	652
795	2535	649
796	2538	646
797	2546	644
798	2550	641
799	2553	638
800	2556	635
801	2560	632
802	2562	628
803	2565	625
804	2567	621
805	2570	618
806	2574	615
807	2577	612
808	2579	608
809	2581	605
810	2583	602
811	2589	599
812	2592	596
813	2594	592
814	2596	589
815	2598	585
816	2601	582
817	2605	579
818	2608	576
819	2610	573
820	2613	569
821	2616	566
822	2620	563
823	2622	560
824	2625	556
825	2627	553
826	2629	550
827	2643	549
828	2651	546
829	2654	543
830	2658	540
831	2664	537
832	2667	534
833	2671	531
834	2674	528
835	2679	525
836	2682	522
837	2685	519
838	2687	515
839	2689	512
840	2692	509
841	2695	505
842	2697	502
843	2699	498
844	2701	495
845	2704	492
846	2707	489
847	2709	485
848	2712	482
849	2714	479
850	2716	475
851	2719	472
852	2721	469
853	2724	465
854	2726	462
855	2729	459
856	2732	455
857	2734	452
858	2737	449
859	2742	446
860	2745	443
861	2748	440
862	2752	436
863	2755	433
864	2758	430
865	2762	427
866	2765	424
867	2769	421
868	2772	418
869	2776	414
870	2779	411
871	2783	408
872	2787	405
873	2790	402
874	2793	399
875	2796	395
876	2801	392
877	2804	389
878	2807	386
879	2812	383
880	2815	380
881	2818	377
882	2821	373
883	2826	370
884	2829	367
885	2831	364
886	2834	361
887	2838	357
888	2887	360
889	2892	357
890	2904	355
891	2908	352
892	2911	348
893	2913	345
894	2916	342
895	2919	338
896	2924	335
897	2927	332
898	2930	329
899	2932	325
900	2935	322
901	2939	319
902	2943	316
903	2946	312
904	2950	309
905	2953	306
906	2958	303
907	2963	300
908	2966	296
909	2974	294
910	2977	290
911	2981	287
912	2986	284
913	2989	281
914	2993	278
915	3003	275
916	3036	274
917	3045	272
918	3048	268
919	3051	265
920	3059	262
921	3068	259
922	3076	256
923	3080	253
924	3099	251
925	3103	248
926	3109	244
927	3113	241
928	3117	238
929	3124	235
930	3128	231
931	3133	228
932	3136	225
933	3156	223
934	3160	219
935	3179	217
936	3183	214
937	3194	211
938	3198	207
939	3215	205
940	3221	201
941	3240	199
942	3245	196
943	3272	194
944	3278	190
945	3288	187
946	3293	184
947	3296	180
948	3301	177
949	3307	174
950	3311	170
951	3330	167
952	3341	164
953	3346	161
954	3355	158
955	3359	154
956	3372	151
957	3375	147
958	3378	144
959	3381	140
960	3407	138
961	3419	135
962	3426	131
963	3437	128
964	3442	124
965	3453	121
966	3462	118
967	3480	115
968	3499	111
969	3506	108
970	3518	105
971	3526	101
972	3538	98
973	3544	94
974	3551	91
975	3571	87
976	3583	84
977	3590	80
978	3603	77
979	3605	73
980	3610	69
981	3615	66
982	3619	62
983	3621	58
984	3624	55
985	3630	51
986	3634	47
987	3637	44
988	3640	40
989	3646	36
990	3649	33
991	3652	29
992	3654	25
993	3659	22
994	3661	18
995	3664	14
996	3666	11
997	3668	7
998	3670	3
999	3676	0
